Lindelof Victor,manchester utd,6.6
Rojo Marcos,manchester utd,7.3
Shaw Luke,manchester utd,6.6
Smalling Chris,manchester utd,7.3
Valencia Antonio,manchester utd,9.4
Clark Ciaran,newcastle,6
Dummett Paul,newcastle,5.7
Gámez Jesus,newcastle,5.3
Haidara Massadio,newcastle,5.3
Hayden Isaac,newcastle,6
Lascelles Jamaal,newcastle,6.4
Lejeune Florian,newcastle,5.8
Manquillo Javier,newcastle,5.8
Mbemba Chancel,newcastle,5.3
Yedlin DeAndre,newcastle,6
Bednarek Jan,southampton,5.5
Bertrand Ryan,southampton,7.2
Cedric Alves,southampton,6.4
Hoedt Wesley,southampton,6.8
Stephens Jack,southampton,6.1
Yoshida Maya,southampton,6.2
Bauer Moritz,stoke,6.1
Edwards Thomas,stoke,5.4
Johnson Glen,stoke,5.5
Martins Indi Bruno,stoke,6.6
Pieters Erik,stoke,6.4
Shawcross Ryan,stoke,6.5
Stafylidis Konstantinos,stoke,6
Wimmer Kevin,stoke,5.5
Zouma Kurt,stoke,7.3
Bartley Kyle,swansea,5.8
Fernández Federico,swansea,6.1
James Daniel,swansea,4.5
Mawson Alfie,swansea,6.9
Naughton Kyle,swansea,6.2
Olsson Martin,swansea,6.8
Rangel Angel,swansea,5.3
Roberts Connor,swansea,5.4
van der Hoorn Mike,swansea,6
Alderweireld Toby,tottenham,7.9
Aurier Serge,tottenham,8
Davies Ben,tottenham,7.9
Foyth Juan,tottenham,6.1
Rose Danny,tottenham,8.7
Sánchez Davinson,tottenham,8.1
Trippier Kieran,tottenham,7.2
Vertonghen Jan,tottenham,8.1
Walker-Peters Kyle,tottenham,5.4
Britos Miguel Ángel,watford,5.8
Holebas Jose,watford,6.5
Janmaat Daryl,watford,6.5
Kabasele Christian,watford,6.1
Kaboul Younes,watford,5.7
Mariappa Adrian,watford,5.5
Mukena Joy,watford,5.4
Prodl Sebastian,watford,5.8
Wague Molla,watford,6.1
Zeegelaar Marvin,watford,5.8
Dawson Craig,west brom,6.5
Evans Jonny,west brom,6.6
Gabr Ali,west brom,6.1
Gibbs Kieran,west brom,6.8
Hegazy Ahmed,west brom,6.4
Jameson Kyle,west brom,5.4
McAuley Gareth,west brom,6.1
Nyom Allan,west brom,6.5
Collins James,west ham,5.8
Cresswell Aaron,west ham,6.9
Evra Patrice,west ham,6.1
Masuaku Arthur,west ham,5.8
Neufville Vashon,west ham,4.5
Ogbonna Angelo,west ham,6
Reid Winston,west ham,6.5
Zabaleta Pablo,west ham,6.6
Dasilva Pelenda,arsenal,4.5
Dragomir Vlad,arsenal,4.5
Elneny Mohamed,arsenal,5.7
Gilmour Charlie,arsenal,4.5
Iwobi Alex,arsenal,6.9
Maitland-Niles Ainsley,arsenal,6.1
Mkhitaryan Henrikh,arsenal,10.6
Ramsey Aaron,arsenal,9.4
Sheaf Ben,arsenal,4.5
Wilshere Jack,arsenal,7.2
Xhaka Granit,arsenal,7
Özil Mesut,arsenal,12.6
Arter Harry,bournemouth,6.4
Butcher Matt,bournemouth,6.1
Cook Lewis,bournemouth,5.8
Daniels Charlie,bournemouth,6.4
Fraser Ryan,bournemouth,6.9
Gosling Dan,bournemouth,6.5
Hyndman Emerson,bournemouth,6.1
Mousset Lys,bournemouth,6.6
Stanislas Junior,bournemouth,8
Surman Andrew,bournemouth,6.1
Taylor Kyle,bournemouth,6.1
Gross Pascal,brighton,8
Hutchinson Desmond,brighton,4.5
Kayal Biram,brighton,6
Knockaert Anthony,brighton,7.5
March Solomon,brighton,6.5
Molumby Jayson,brighton,6.1
Propper Davy,brighton,4.5
Schelotto Ezequiel,brighton,6
Skalak Jiri,brighton,6.4
Arfield Scott,burnley,6.6
Brady Robbie,burnley,7.2
Cork Jack,burnley,6.2
Defour Steven,burnley,7.3
Hendrick Jeff,burnley,7.3
Marney Dean,burnley,6
N'Koudou Georges-Kevin,burnley,7.3
O'Neill Aiden,burnley,6.1
Taylor Charlie,burnley,5.7
Westwood Ashley,burnley,5.8
Ampadu Ethan,chelsea,6.1
Bakayoko Tiémoué,chelsea,6.6
Barkley Ross,chelsea,9.9
Drinkwater Daniel,chelsea,6.5
Fàbregas Cesc,chelsea,9.2
Hazard Eden,chelsea,14.5
Hudson-Odoi Callum,chelsea,6.1
Kanté N'Golo,chelsea,6.6
Pedro,chelsea,10.5
Scott Kyle,chelsea,5.8
Willian,chelsea,9.2
Cabaye Yohan,crystal palace,7.2
Kirby Nya,crystal palace,6.1
Loftus-Cheek Ruben,crystal palace,6
McArthur James,crystal palace,5.8
Milivojevic Luka,crystal palace,6.6
Mutch Jordon,crystal palace,6.1
Phillips Michael,crystal palace,4.5
Puncheon Jason,crystal palace,6
Sako Bakary,crystal palace,6.6
Townsend Andros,crystal palace,7.6
Baningime Beni,everton,6.1
